synapse_id	x_px	y_px	z_px	size_px	distance	detection_uncertainty	node_id	node_x_px	node_y_px	node_z_px	node_count	nearest_connector_id	nearest_connector_distance_nm	nearest_connector_x_nm	nearest_connector_y_nm	nearest_connector_z_nm
1959	9953	6323	177	305	0.121841	0.39718	28363	10071	6396	177	3	226506	534.6335193382472	39894.0	25770.0	7740.0
1961	10075	6475	179	539	0.0386924	0.367013	26239	10073	6396	179	4	28402	319.9015473548073	40156.0	25724.0	7830.0
1962	9927	6532	177	27	0.225729	0.69296292905454282	28363	10071	6396	177	1	226506	461.93614277300276	39894.0	25770.0	7740.0
1963	10049	6374	181	1860	0.00308884	0.322699	26237	10035	6410	181	4	26240	161.14899937635357	40334.0	25426.0	8100.0
1964	9822	6462	182	189	0.0342984	0.28693119432560354	26223	9960	6443	182	1	26297	142.74802975873257	39294.0	25894.0	8325.0
1965	10110	6092	161	1717	0.0292068	0.38438	28497	10101	6199	161	4	28508	264.8263582047678	40372.0	24490.0	7470.0
1966	9985	6248	162	2008	0.0254388	0.374985	28498	10100	6194	162	4	28547	518.8111409752107	40352.0	25006.0	6975.0
1967	10231	6337	160	331	0.155369	0.399245	28466	10097	6226	160	2	28433	664.0971314499108	40546.0	24902.0	7515.0
1969	12184	6020	152	755	0.0143154	0.343629	38683	12263	6058	152	5	38710	171.52550830707366	48856.0	23966.0	6795.0
1970	12311	6073	154	560	0.0168519	0.341214	38686	12329	6048	154	2	38689	106.0	49188.0	24382.0	6930.0
1971	12259	6199	152	930	0.0265927	0.406183	38683	12263	6058	152	4	38689	450.111097397076	49188.0	24382.0	6930.0
1968	12361	5912	152	905	0.0568039	0.457801	38683	12263	6058	152	5	38710	669.994776099038	48856.0	23966.0	6795.0
1972	12370	6121	152	213	0.070504	0.569155	38683	12263	6058	152	3	38689	322.1304083752417	49188.0	24382.0	6930.0
1973	12283	6169	152	284	0.0487876	0.552958	38683	12263	6058	152	2	38689	312.52519898401795	49188.0	24382.0	6930.0
1974	12172	5941	150	1225	0.0337565	0.320653	38681	12233	6048	150	4	38710	266.5576860643865	48856.0	23966.0	6795.0
1975	12236	5963	152	141	0.0539975	0.500567	38683	12263	6058	152	2	38710	150.88074761214565	48856.0	23966.0	6795.0
1976	12138	6001	151	342	0.0419783	0.461491	38682	12249	6054	151	3	38710	306.36579443534487	48856.0	23966.0	6795.0
1977	12124	6072	152	466	0.084107	0.322468	38683	12263	6058	152	2	38710	485.0865902083874	48856.0	23966.0	6795.0
1978	12379	6105	152	54	0.0891387	0.54666663982250074	38683	12263	6058	152	1	38689	342.239682094289	49188.0	24382.0	6930.0
1979	12180	5926	148	906	0.0278456	0.397141	38679	12246	6030	148	4	38658	301.8095425926755	48912.0	23764.0	6435.0
1980	12158	6002	150	29	0.0457436	0.54655173729205953	38681	12233	6048	150	1	38710	232.30368055629253	48856.0	23966.0	6795.0
1981	12387	5890	149	22	0.0764832	0.64863636276938696	38680	12239	6039	149	1	38689	925.1535007770332	49188.0	24382.0	6930.0
1982	12089	6152	145	133	0.0337659	0.39391	38676	12236	6009	145	2	-1	9999999.0	-1	-1	-1
1985	12257	6192	130	119	0.0739286	0.41033608572823665	38639	12133	6084	130	1	38689	1158.0138168433052	49188.0	24382.0	6930.0
1986	12152	6213	130	20	0.0903668	0.32200002670288086	38639	12133	6084	130	1	38689	1312.8975588369415	49188.0	24382.0	6930.0
1987	12189	6219	128	5862	0.0340242	0.299733	38637	12088	6121	128	4	38689	1341.4767981594016	49188.0	24382.0	6930.0
1988	11992	6250	128	1830	0.0266333	0.326224	38637	12088	6121	128	6	-1	9999999.0	-1	-1	-1
1984	12281	6147	130	29	0.106333	0.52000003025449559	38639	12133	6084	130	1	38689	1101.3319209030492	49188.0	24382.0	6930.0
1983	12149	6038	129	3289	0.0179854	0.446978	38638	12095	6136	129	4	38658	804.5495634204271	48912.0	23764.0	6435.0
1989	12180	6083	129	1159	0.0361229	0.486782	38638	12095	6136	129	2	38658	869.7056973482466	48912.0	23764.0	6435.0
1990	12146	6101	129	460	0.0239046	0.450348	38638	12095	6136	129	2	38658	956.0774027242774	48912.0	23764.0	6435.0
1991	12239	6175	129	234	0.0665361	0.41970062255859375	38638	12095	6136	129	1	38689	1191.8779299911548	49188.0	24382.0	6930.0
1992	11943	6230	128	1874	0.0282352	0.415395	38637	12088	6121	128	4	-1	9999999.0	-1	-1	-1
1993	12130	6212	129	17	0.0345793	0.47411761564366961	38638	12095	6136	129	1	38689	1388.886244441927	49188.0	24382.0	6930.0
1994	12217	6217	129	17	0.111128	0.41764702516443586	38638	12095	6136	129	1	38689	1266.5784618411922	49188.0	24382.0	6930.0
1995	12143	6234	129	88	0.0315857	0.45875	38638	12095	6136	129	2	38689	1397.1388621035492	49188.0	24382.0	6930.0
1996	12230	6243	129	64	0.0960234	0.4096875786781311	38638	12095	6136	129	1	38689	1298.2869482514257	49188.0	24382.0	6930.0
1997	12156	6261	129	202	0.0344557	0.451683	38638	12095	6136	129	2	38689	1421.9581569089858	49188.0	24382.0	6930.0
